物料号,维修故障数（分子）,物料描述,全部相关生产订单数,全部相关BOM过账行数,全部相关BOM使用量（主分母）,故障率（主口径）,故障生产订单数,故障生产订单BOM过账行数,故障生产订单BOM使用量（对比）,故障率（13个故障订单口径）
000000000024004174,1,BD32G04-8639-U2 C01 硬盘背板(B02-YC)-GT,24,25,1684,0.059382%,13,14,995,0.100503%
000000000024004390,1,YICHUN_60EA32-BD C01 主板(B02 IFX_PFR-SCC),3,4,177,0.564972%,1,1,100,1.000000%
000000000024004751,1,YICHUN_60EA32-BD C01 主板(B02 MPS-SCC_HD）,13,14,448,0.223214%,7,7,325,0.307692%
000000000024004825,2,YICHUN_60EA32-BD C01 主板(B02 IFX_PFR-HD）,8,9,675,0.296296%,5,5,540,0.370370%
000000000033000256,2,长城GW-CRPS1300D2WM白金1300W CRPS电源模块,11,11,826,0.242131%,6,6,590,0.338983%
B2400135,4,武功山WGS5342210-C 双口100G O3L DSFP 智能网卡B02,11,11,852,0.469484%,6,6,640,0.625000%
B5000026,17,CX CXMR4E464R8AS DDR5 56R 64G内存-B02,16,16,36704,0.046316%,11,11,29920,0.056818%
B6200004,4,Intel 8457C 2.6G 97.5M 48C 350W LJS(B02),16,16,2274,0.175901%,11,11,1850,0.216216%
